,Band Name
0,Inception
1,Cambodia
2,Grave
3,Syrek
4,Blackmass
5,Brutal Agony
6,Sargeist
7,Belial
8,Ódica
9,Disembodiment
10,Invader
11,Moonblood
12,Defeated Sanity
13,Revenge
14,Blasphemy
15,Altar
16,Decoryah
17,Bethlehem
18,Gorguts
19,Αχέροντας
20,Nazka
21,Fleshgod Apocalypse
22,Darkened Nocturn Slaughtercult
23,Decapitated
24,Blasphemy
25,Voivod
26,The Ruins of Beverast
27,Belial
28,Demolition Hammer
29,Funebrarum
30,Hetroertzen
31,Теория Света
32,Cambodia
33,Graphic Violence
34,Chronic Disorder
35,Suffocation
36,Incinerator
37,Ulver
38,Necropsia
39,Dismember
40,Worm
41,Dirtnap
42,Inception
43,Promise Land
44,Engulfed
45,Attack
46,Grave Desecrator
47,Sadistik Exekution
48,Venom
49,Abigail
50,Necropsia
51,Revenge
52,Regorge
53,Hate Eternal
54,Ossuary
55,Anaal Nathrakh
56,Necrophobic
57,Bloodlust
58,Dysrhythmia
59,Tsjuder
60,Nihilist
61,Death
62,Halcyon
63,Blasphemy
64,Darkthrone
65,Carpathian Forest
66,Mitochondrion
67,Deicide
68,My Dying Bride
69,Bloodlust
70,Destruction
71,Woods of Ypres
72,Beyond Death
73,Kreator
74,VX
75,Wintermoon
76,Godless
77,Obituary
78,Cryptopsy
79,Malevolent Creation
80,Dissection
81,Bathory
82,Invader
83,Cannibal Corpse
84,Incinerator
85,Paradise Lost
86,Immolation
87,Belphegor
88,Pathologic Noise
89,Hypnosia
90,Beyond Death
91,Teitanblood
92,Revenge
93,Spawn of Possession
94,Sarcófago
95,Necrophagist
96,Anorexia Nervosa
97,Profanatica
98,Ossuary
99,Scorched
100,Deströyer 666
101,Hate Forest
102,Worm
103,Bloodbath
104,Eternal War
105,Bolt Thrower
106,Blut aus Nord
107,Pestilence
108,Brainless
109,Goatwhore
110,False Prophet
111,Cradle of Filth
112,Severe Torture
113,Necropsia
114,Undergang
115,Demilich
116,Altar
117,Revenge
118,Gnosis
119,Celtic Frost
120,Black Witchery
121,Mournful Congregation
122,Cattle Decapitation
123,Autopsy
124,Altar
125,Danzig
126,Hellhammer
127,Altar
128,Eternal War
129,Evoken
130,Proclamation
131,Emperor
132,Ripping Corpse
133,Atheist
134,Agalloch
135,Belial
136,Morbific
137,Necropsia
138,Steel Cage
139,Wotan
140,Altar
141,Scarab
142,Horna
143,Immortal
144,Ossuary
145,Ossuary
146,Gnosis
147,Dead Congregation
148,Acrimonious
149,Paganizer
150,Daargesin
151,Impaled Nazarene
152,Beherit
153,Wotan
154,Belial
155,Mortician
156,Conqueror
157,The True Werwolf
158,Esoteric
159,Imperial Triumphant
160,Gevurah
161,Cruciamentum
162,Revenge
163,Obscure Infinity
164,Krallice
165,Daretones
166,Maligno
167,Belial
168,Godless
169,Night Shadows
170,Superstition
171,Superstition
172,White Wolves Kommando
173,Scarab
174,Incinerator
175,Seth
176,Circle VII
177,Adversarial
178,Dødsengel
179,Elbenneble
180,Revenge
181,Unleash the Archers
182,VX
183,Attack
184,Camion
185,Revenge
186,Necropsia
187,Undergang
188,Pyrrhon
189,War Master
190,Mayhem
191,Obsequiae
